Word,Alpha,Rank,AnagramCount
ABERRANT,AABENRRT,3,0
ABERRATION,AABEINORRT,2,0
ABERRATIONAL,AAABEILNORRT,3,0
ABERRATIONS,AABEINORRST,2,0
ABET,ABET,3,2
ABETS,ABEST,3,4
ABETTED,ABDEETT,3,0
ABETTING,ABEGINTT,2,0
ABEYANCE,AABCEENY,3,0
ABHOR,ABHOR,2,0
ABHORRED,ABDEHORR,3,1
ABHORRENCE,ABCEEHNORR,3,0
ABHORRENT,ABEHNORRT,2,0
ABHORS,ABHORS,3,0
ABIDE,ABDEI,2,0
ABIDED,ABDDEI,3,1
ABIDES,ABDEIS,3,1
ABIDING,ABDGIIN,3,0
ABILITIES,ABEIIILST,1,0
ABILITY,ABIILTY,1,0
ABIOTIC,ABCIIOT,3,0
ABJECT,ABCEJT,2,0
ABJECTION,ABCEIJNOT,3,0
ABJECTLY,ABCEJLTY,3,0
ABJURE,ABEJRU,3,0
ABJURED,ABDEJRU,3,0
ABJURES,ABEJRSU,3,0
ABJURING,ABGIJNRU,3,0
ABLATION,AABILNOT,3,0
ABLATIVE,AABEILTV,3,0
ABLAZE,AABELZ,2,0
ABLE,ABEL,1,1
ABLED,ABDEL,3,2
ABLUTION,ABILNOTU,3,0
ABLUTIONS,ABILNOSTU,3,0
ABLY,ABLY,2,0
ABNEGATION,AABEGINNOT,3,0
ABNORMAL,AABLMNOR,2,0
ABNORMALITIES,AABEIILMNORST,2,0
ABNORMALITY,AABILMNORTY,2,0
ABNORMALLY,AABLLMNORY,2,0
ABOARD,AABDOR,1,1
ABODE,ABDEO,2,1
ABODES,ABDEOS,3,1
ABOLISH,ABHILOS,2,0
ABOLISHED,ABDEHILOS,3,0
ABOLISHES,ABEHILOSS,3,0
ABOLISHING,ABGHIILNOS,2,0
ABOLISHMENT,ABEHILMNOST,3,0
ABOLITION,ABIILNOOT,2,0
ABOLITIONISM,ABIIILMNOOST,3,0
ABOLITIONIST,ABIIILNOOSTT,2,0
ABOLITIONISTS,ABIIILNOOSSTT,2,0
ABOMINABLE,AABBEILMNO,2,0
ABOMINABLY,AABBILMNOY,3,0
ABOMINATION,AABIIMNNOOT,2,0
ABOMINATIONS,AABIIMNNOOST,3,0
ABORIGINAL,AABGIILNOR,2,0
ABORIGINALS,AABGIILNORS,3,0
ABORIGINE,ABEGIINOR,3,0
ABORIGINES,ABEGIINORS,3,0
ABORT,ABORT,2,0
ABORTED,ABDEORT,3,0
ABORTIFACIENT,AABCEFIINORTT,3,0
ABORTING,ABGINORT,3,0
ABORTION,ABINOORT,1,0
ABORTIONIST,ABIINOORSTT,3,0
ABORTIONISTS,ABIINOORSSTT,3,0
ABORTIONS,ABINOORST,1,0
ABORTIVE,ABEIORTV,2,0
ABORTS,ABORST,3,0
ABOUND,ABDNOU,2,0
ABOUNDED,ABDDENOU,3,0
ABOUNDING,ABDGINNOU,3,0
ABOUNDS,ABDNOSU,2,0
ABOUT,ABOTU,1,0
ABOVE,ABEOV,1,0
ABOVEBOARD,AABBDEOORV,3,0
ABOVEGROUND,ABDEGNOORUV,2,0
ABRACADABRA,AAAAABBCDRR,3,0
ABRADE,AABDER,3,0
ABRADED,AABDDER,3,0
ABRADING,AABDGINR,3,0
ABRASION,AABINORS,2,0
ABRASIONS,AABINORSS,3,0
ABRASIVE,AABEIRSV,2,0
ABRASIVELY,AABEILRSVY,3,0
ABRASIVENESS,AABEEINRSSSV,3,0
ABREAST,AABERST,2,0
ABRIDGE,ABDEGIR,3,1
ABRIDGED,ABDDEGIR,3,0
ABRIDGEMENT,ABDEEGIMNRT,3,0
ABRIDGING,ABDGGIINR,3,0
ABRIDGMENT,ABDEGIMNRT,3,0
ABROAD,AABDOR,1,1
ABROGATE,AABEGORT,3,0
ABROGATED,AABDEGORT,3,0
ABROGATES,AABEGORST,3,0
ABROGATING,AABGGINORT,3,0
ABROGATION,AABGINOORT,3,0
ABRUPT,ABPRTU,2,0
ABRUPTLY,ABLPRTUY,1,0
ABRUPTNESS,ABENPRSSTU,3,0
ABS,ABS,2,0
ABSCESS,ABCESSS,2,0
ABSCESSED,ABCDEESSS,3,0
ABSCESSES,ABCEESSSS,3,0
ABSCISSA,AABCISSS,3,0
ABSCOND,ABCDNOS,3,0
ABSCONDED,ABCDDENOS,3,0
ABSCONDING,ABCDGINNOS,3,0
ABSENCE,ABCEENS,1,0
ABSENCES,ABCEENSS,2,0
ABSENT,ABENST,2,0
ABSENTED,ABDEENST,3,0
ABSENTEE,ABEEENST,2,0
ABSENTEEISM,ABEEEIMNSST,2,0
ABSENTEES,ABEEENSST,3,0
ABSENTLY,ABELNSTY,2,0
ABSENTMINDED,ABDDEEIMNNST,3,0
ABSENTMINDEDLY,ABDDEEILMNNSTY,3,0
ABSINTHE,ABEHINST,3,0
ABSOLUTE,ABELOSTU,1,0
ABSOLUTELY,ABELLOSTUY,1,0
ABSOLUTENESS,ABEELNOSSSTU,3,0
ABSOLUTES,ABELOSSTU,2,0
ABSOLUTION,ABILNOOSTU,2,0
ABSOLUTISM,ABILMOSSTU,2,0
ABSOLUTIST,ABILOSSTTU,2,0
ABSOLUTISTS,ABILOSSSTTU,3,0
ABSOLVE,ABELOSV,2,0
ABSOLVED,ABDELOSV,3,0
ABSOLVES,ABELOSSV,3,0
ABSOLVING,ABGILNOSV,3,0
ABSORB,ABBORS,1,0
ABSORBABLE,AABBBELORS,3,0
ABSORBANCE,AABBCENORS,3,0
ABSORBED,ABBDEORS,2,0
ABSORBENCY,ABBCENORSY,3,0
ABSORBENT,ABBENORST,3,0
ABSORBER,ABBEORRS,3,1
ABSORBERS,ABBEORRSS,2,0
ABSORBING,ABBGINORS,2,0
ABSORBS,ABBORSS,2,0
ABSORPTION,ABINOOPRST,2,0
ABSORPTIVE,ABEIOPRSTV,3,0
ABSTAIN,AABINST,2,0
ABSTAINED,AABDEINST,3,0
ABSTAINER,AABEINRST,3,0
ABSTAINERS,AABEINRSST,3,0
ABSTAINING,AABGIINNST,3,0
ABSTAINS,AABINSST,3,0
ABSTEMIOUS,ABEIMOSSTU,3,0
ABSTENTION,ABEINNOSTT,3,0
ABSTENTIONS,ABEINNOSSTT,3,0
ABSTINENCE,ABCEEINNST,2,0
ABSTINENT,ABEINNSTT,3,0
ABSTRACT,AABCRSTT,2,0
ABSTRACTED,AABCDERSTT,3,0
ABSTRACTEDLY,AABCDELRSTTY,3,0
ABSTRACTING,AABCGINRSTT,3,0
ABSTRACTION,AABCINORSTT,2,0
ABSTRACTIONIST,AABCIINORSSTTT,3,0
ABSTRACTIONISTS,AABCIINORSSSTTT,3,0
ABSTRACTIONS,AABCINORSSTT,2,0
ABSTRACTLY,AABCLRSTTY,3,0
ABSTRACTNESS,AABCENRSSSTT,3,0
ABSTRACTS,AABCRSSTT,2,0
ABSTRUSE,ABERSSTU,3,0
ABSURD,ABDRSU,1,0
ABSURDIST,ABDIRSSTU,3,0
ABSURDITIES,ABDEIIRSSTU,3,0
ABSURDITY,ABDIRSTUY,2,0
ABSURDLY,ABDLRSUY,2,0
ABUNDANCE,AABCDENNU,1,0
ABUNDANCES,AABCDENNSU,2,0
ABUNDANT,AABDNNTU,1,0
ABUNDANTLY,AABDLNNTUY,2,0
ABUSE,ABESU,2,1
ABUSED,ABDESU,2,0
ABUSER,ABERSU,2,0
ABUSERS,ABERSSU,2,0
ABUSES,ABESSU,2,1
ABUSING,ABGINSU,2,0
ABUSIVE,ABEISUV,1,0
ABUSIVELY,ABEILSUVY,3,0
ABUSIVENESS,ABEEINSSSUV,3,0
ABUT,ABTU,3,1
ABUTMENT,ABEMNTTU,3,0
ABUTMENTS,ABEMNSTTU,3,0
ABUTS,ABSTU,3,1
ABUTTED,ABDETTU,3,0
ABUTTING,ABGINTTU,3,0
ABUZZ,ABUZZ,2,0
ABYSMAL,AABLMSY,2,0
ABYSMALLY,AABLLMSYY,3,0
ABYSS,ABSSY,2,0
ABYSSAL,AABLSSY,3,0
ABYSSES,ABESSSY,3,0
ACACIA,AAACCI,2,0
ACACIAS,AAACCIS,3,0
ACADEME,AACDEEM,2,0
ACADEMIA,AAACDEIM,2,0
ACADEMIC,AACCDEIM,2,0
ACADEMICALLY,AAACCDEILLMY,2,0
ACADEMICIAN,AAACCDEIIMN,3,0
ACADEMICIANS,AAACCDEIIMNS,2,0
ACADEMICISM,AACCDEIIMMS,3,0
ACADEMICS,AACCDEIMS,1,0
ACADEMIES,AACDEEIMS,2,0
ACADEMY,AACDEMY,1,0
ACANTHUS,AACHNSTU,3,0
ACCEDE,ACCDEE,2,0
ACCEDED,ACCDDEE,3,0
ACCEDES,ACCDEES,3,0
ACCEDING,ACCDEGIN,3,0
ACCELERANT,AACCEELNRT,3,0
ACCELERANTS,AACCEELNRST,3,0
ACCELERATE,AACCEEELRT,2,0
ACCELERATED,AACCDEEELRT,2,0
ACCELERATES,AACCEEELRST,2,0
ACCELERATING,AACCEEGILNRT,2,0
ACCELERATION,AACCEEILNORT,2,0
ACCELERATIONS,AACCEEILNORST,3,0
ACCELERATIVE,AACCEEEILRTV,3,0
ACCELERATOR,AACCEELORRT,2,0
ACCELERATORS,AACCEELORRST,2,0
ACCELEROMETER,ACCEEEELMORRT,3,0
ACCELEROMETERS,ACCEEEELMORRST,3,0
ACCENT,ACCENT,2,0
ACCENTED,ACCDEENT,3,0
ACCENTING,ACCEGINNT,3,0
ACCENTS,ACCENST,2,0
ACCENTUATE,AACCEENTTU,2,0
ACCENTUATED,AACCDEENTTU,3,0
ACCENTUATES,AACCEENSTTU,2,0
ACCENTUATING,AACCEGINNTTU,3,0
ACCENTUATION,AACCEINNOTTU,3,0
ACCEPT,ACCEPT,1,0
ACCEPTABILITY,AABCCEIILPTTY,2,0
ACCEPTABLE,AABCCEELPT,1,0
ACCEPTABLY,AABCCELPTY,3,0
ACCEPTANCE,AACCCEENPT,1,0
ACCEPTANCES,AACCCEENPST,2,0
ACCEPTED,ACCDEEPT,1,0
ACCEPTING,ACCEGINPT,1,0
ACCEPTOR,ACCEOPRT,3,0
ACCEPTORS,ACCEOPRST,3,0
ACCEPTS,ACCEPST,1,0
ACCESS,ACCESS,1,0
ACCESSED,ACCDEESS,2,0
ACCESSES,ACCEESSS,2,0
ACCESSIBILITY,ABCCEIIILSSTY,2,0
ACCESSIBLE,ABCCEEILSS,1,0
ACCESSIBLY,ABCCEILSSY,3,0
ACCESSING,ACCEGINSS,2,0
ACCESSION,ACCEINOSS,2,0
ACCESSIONS,ACCEINOSSS,3,0
ACCESSORIES,ACCEEIORSSS,1,0
ACCESSORIZE,ACCEEIORSSZ,3,0
ACCESSORIZED,ACCDEEIORSSZ,3,0
ACCESSORIZING,ACCEGIINORSSZ,3,0
ACCESSORY,ACCEORSSY,2,0
ACCIDENT,ACCDEINT,1,0
ACCIDENTAL,AACCDEILNT,2,0
ACCIDENTALLY,AACCDEILLNTY,1,0
ACCIDENTLY,ACCDEILNTY,3,0
ACCIDENTS,ACCDEINST,1,0
ACCLAIM,AACCILM,3,0
ACCLAIMED,AACCDEILM,2,0
ACCLAMATION,AAACCILMNOT,3,0
ACCLIMATE,AACCEILMT,3,0
ACCLIMATED,AACCDEILMT,3,0
ACCLIMATING,AACCGIILMNT,3,0
ACCLIMATION,AACCIILMNOT,3,0
ACCLIMATIZATION,AAACCIIILMNOTTZ,3,0
ACCLIMATIZE,AACCEIILMTZ,3,0
ACCLIMATIZED,AACCDEIILMTZ,3,0
ACCOLADE,AACCDELO,3,0
ACCOLADES,AACCDELOS,2,0
ACCOMMODATE,AACCDEMMOOT,1,0
ACCOMMODATED,AACCDDEMMOOT,3,0
ACCOMMODATES,AACCDEMMOOST,2,0
ACCOMMODATING,AACCDGIMMNOOT,2,0
ACCOMMODATION,AACCDIMMNOOOT,2,0
ACCOMMODATIONS,AACCDIMMNOOOST,1,0
ACCOMMODATIVE,AACCDEIMMOOTV,3,0
ACCOMPANIED,AACCDEIMNOP,2,0
ACCOMPANIES,AACCEIMNOPS,2,0
ACCOMPANIMENT,AACCEIMMNNOPT,2,0
ACCOMPANIMENTS,AACCEIMMNNOPST,2,0
ACCOMPANIST,AACCIMNOPST,3,0
ACCOMPANISTS,AACCIMNOPSST,3,0
ACCOMPANY,AACCMNOPY,1,0
ACCOMPANYING,AACCGIMNNOPY,2,0
ACCOMPLICE,ACCCEILMOP,2,0
ACCOMPLICES,ACCCEILMOPS,2,0
ACCOMPLISH,ACCHILMOPS,1,0
ACCOMPLISHED,ACCDEHILMOPS,2,0
ACCOMPLISHES,ACCEHILMOPSS,2,0
ACCOMPLISHING,ACCGHIILMNOPS,2,0
ACCOMPLISHMENT,ACCEHILMMNOPST,1,0
ACCOMPLISHMENTS,ACCEHILMMNOPSST,1,0
ACCORD,ACCDOR,2,0
ACCORDANCE,AACCCDENOR,3,0
ACCORDED,ACCDDEOR,3,0
ACCORDING,ACCDGINOR,3,0
ACCORDINGLY,ACCDGILNORY,1,0
ACCORDION,ACCDINOOR,2,0
ACCORDIONIST,ACCDIINOORST,3,0
ACCORDIONS,ACCDINOORS,3,0
ACCORDS,ACCDORS,2,0
ACCOST,ACCOST,3,0
ACCOSTED,ACCDEOST,3,0
ACCOSTING,ACCGINOST,3,0
ACCOSTS,ACCOSST,3,0
ACCOUNT,ACCNOTU,1,0
ACCOUNTABILITY,AABCCIILNOTTUY,1,0
ACCOUNTABLE,AABCCELNOTU,1,0
ACCOUNTANCY,AACCCNNOTUY,3,0
ACCOUNTANT,AACCNNOTTU,2,0
ACCOUNTANTS,AACCNNOSTTU,2,0
ACCOUNTED,ACCDENOTU,2,0
ACCOUNTING,ACCGINNOTU,2,0
ACCOUNTINGS,ACCGINNOSTU,3,0
ACCOUNTS,ACCNOSTU,1,0
ACCOUTERMENTS,ACCEEMNORSTTU,3,1
ACCOUTREMENT,ACCEEMNORTTU,3,0
ACCOUTREMENTS,ACCEEMNORSTTU,2,1
ACCREDIT,ACCDEIRT,3,0
ACCREDITATION,AACCDEIINORTT,2,0
ACCREDITED,ACCDDEEIRT,2,0
ACCREDITING,ACCDEGIINRT,3,0
ACCREDITS,ACCDEIRST,3,0
ACCRETE,ACCEERT,3,0
ACCRETED,ACCDEERT,3,0
ACCRETES,ACCEERST,3,0
ACCRETING,ACCEGINRT,3,0
ACCRETION,ACCEINORT,2,0
ACCRETIONS,ACCEINORST,3,0
ACCRUAL,AACCLRU,3,0
ACCRUE,ACCERU,2,0
ACCRUED,ACCDERU,3,0
ACCRUES,ACCERSU,3,1
ACCRUING,ACCGINRU,3,0
ACCULTURATE,AACCELRTTUU,3,0
ACCULTURATED,AACCDELRTTUU,3,0
ACCULTURATING,AACCGILNRTTUU,3,0
ACCULTURATION,AACCILNORTTUU,2,0
ACCULTURATIVE,AACCEILRTTUUV,3,0
ACCUMULATE,AACCELMTUU,2,0
ACCUMULATED,AACCDELMTUU,2,0
ACCUMULATES,AACCELMSTUU,2,0
ACCUMULATING,AACCGILMNTUU,2,0
ACCUMULATION,AACCILMNOTUU,2,0
ACCUMULATIONS,AACCILMNOSTUU,3,0
ACCUMULATIVE,AACCEILMTUUV,3,0
ACCUMULATOR,AACCLMORTUU,3,0
ACCUMULATORS,AACCLMORSTUU,3,0
ACCURACIES,AACCCEIRSU,3,0
ACCURACY,AACCCRUY,1,0
ACCURATE,AACCERTU,1,0
ACCURATELY,AACCELRTUY,1,0
ACCURSED,ACCDERSU,3,0
ACCUSATION,AACCINOSTU,2,0
ACCUSATIONS,AACCINOSSTU,1,0
ACCUSATORY,AACCORSTUY,2,0
ACCUSE,ACCESU,2,0
ACCUSED,ACCDESU,2,0
ACCUSER,ACCERSU,2,1
ACCUSERS,ACCERSSU,2,0
ACCUSES,ACCESSU,2,0
ACCUSING,ACCGINSU,2,0
ACCUSINGLY,ACCGILNSUY,3,0
ACCUSTOM,ACCMOSTU,3,0
ACCUSTOMED,ACCDEMOSTU,3,0
ACE,ACE,2,0
ACED,ACDE,3,0
ACEDIA,AACDEI,3,0
ACELLULAR,AACELLLRU,3,0
ACEPHALOUS,AACEHLOPSU,3,0
ACEQUIA,AACEIQU,3,0
ACEQUIAS,AACEIQSU,3,0
ACERBIC,ABCCEIR,2,1
ACERBICALLY,AABCCEILLRY,3,0
ACERBITY,ABCEIRTY,3,0
ACES,ACES,2,1
ACETABULAR,AAABCELRTU,3,0
ACETALDEHYDE,AACDDEEEHLTY,3,0
ACETAMINOPHEN,AACEEHIMNNOPT,2,0
ACETATE,AACEETT,2,0
ACETAZOLAMIDE,AAACDEEILMOTZ,3,0
ACETIC,ACCEIT,3,0
ACETONE,ACEENOT,3,0
ACETYL,ACELTY,3,0
ACETYLCHOLINE,ACCEEHILLNOTY,3,0
ACETYLENE,ACEEELNTY,3,0
ACHE,ACEH,2,1
ACHED,ACDEH,3,0
ACHES,ACEHS,2,1
ACHIEVABLE,AABCEEHILV,2,0
ACHIEVE,ACEEHIV,1,0
ACHIEVED,ACDEEHIV,3,0
ACHIEVEMENT,ACEEEHIMNTV,1,0
ACHIEVEMENTS,ACEEEHIMNSTV,1,0
ACHIEVER,ACEEHIRV,3,0
ACHIEVERS,ACEEHIRSV,2,0
ACHIEVES,ACEEHISV,2,0
ACHIEVING,ACEGHIINV,1,0
ACHINESS,ACEHINSS,3,0
ACHING,ACGHIN,2,0
ACHINGLY,ACGHILNY,3,0
ACHONDROPLASIA,AAACDHILNOOPRS,3,0
ACHROMATIC,AACCHIMORT,3,0
ACHY,ACHY,3,0
ACID,ACDI,3,0
ACIDIC,ACCDII,2,0
ACIDIFICATION,AACCDFIIIINOT,3,0
ACIDIFIED,ACDDEFIII,3,0
ACIDIFY,ACDFIIY,3,0
ACIDIFYING,ACDFGIIINY,3,0
ACIDITY,ACDIITY,2,0
ACIDLY,ACDILY,3,0
ACIDOSIS,ACDIIOSS,3,0
ACIDS,ACDIS,2,0
ACINAR,AACINR,3,2
ACING,ACGIN,3,0
ACKEE,ACEEK,3,0
ACKNOWLEDGE,ACDEEGKLNOW,1,0
ACKNOWLEDGED,ACDDEEGKLNOW,2,0
ACKNOWLEDGEMENT,ACDEEEGKLMNNOTW,2,0
ACKNOWLEDGES,ACDEEGKLNOSW,1,0
ACKNOWLEDGING,ACDEGGIKLNNOW,1,0
ACKNOWLEDGMENT,ACDEEGKLMNNOTW,2,0
ACKNOWLEDGMENTS,ACDEEGKLMNNOSTW,2,0
ACME,ACEM,3,2
ACNE,ACEN,2,1
ACOLYTE,ACELOTY,3,0
ACOLYTES,ACELOSTY,3,0
ACONITES,ACEINOST,3,1
ACORN,ACNOR,2,1
ACORNS,ACNORS,2,1
ACOUSTIC,ACCIOSTU,2,0
ACOUSTICAL,AACCILOSTU,2,0
ACOUSTICALLY,AACCILLOSTUY,3,0
ACOUSTICS,ACCIOSSTU,2,0
ACQUAINT,AACINQTU,2,0
ACQUAINTANCE,AAACCEINNQTU,2,0
ACQUAINTANCES,AAACCEINNQSTU,2,0
ACQUAINTED,AACDEINQTU,2,0
ACQUAINTING,AACGIINNQTU,3,0
ACQUAINTS,AACINQSTU,3,0
ACQUIESCE,ACCEEIQSU,2,0
ACQUIESCED,ACCDEEIQSU,3,0
ACQUIESCENCE,ACCCEEEINQSU,2,0
ACQUIESCENT,ACCEEINQSTU,3,0
ACQUIESCES,ACCEEIQSSU,3,0
ACQUIESCING,ACCEGIINQSU,3,0
ACQUIRE,ACEIQRU,1,0
ACQUIRED,ACDEIQRU,2,0
ACQUIRER,ACEIQRRU,3,0
ACQUIRERS,ACEIQRRSU,3,0
ACQUIRES,ACEIQRSU,2,0
ACQUIRING,ACGIINQRU,1,0
ACQUISITION,ACIIINOQSTU,1,0
ACQUISITIONS,ACIIINOQSSTU,2,0
ACQUISITIVE,ACEIIIQSTUV,3,0
ACQUISITIVENESS,ACEEIIINQSSSTUV,3,0
ACQUIT,ACIQTU,2,0
ACQUITS,ACIQSTU,3,0
ACQUITTAL,AACILQTTU,2,0
ACQUITTALS,AACILQSTTU,3,0
ACQUITTED,ACDEIQTTU,3,0
ACQUITTING,ACGIINQTTU,3,0
ACRE,ACER,2,2
ACREAGE,AACEEGR,2,0
ACREAGES,AACEEGRS,3,0
ACRES,ACERS,1,3
ACRID,ACDIR,2,0
ACRIMONIOUS,ACIIMNOORSU,2,0
ACRIMONIOUSLY,ACIILMNOORSUY,3,0
ACRIMONY,ACIMNORY,2,0
ACROBAT,AABCORT,2,0
ACROBATIC,AABCCIORT,2,0
ACROBATICS,AABCCIORST,2,0
ACROBATS,AABCORST,2,0
ACROLEIN,ACEILNOR,3,0
ACROMION,ACIMNOOR,3,0
ACRONYM,ACMNORY,2,0
ACRONYMS,ACMNORSY,2,0
ACROPHOBIA,AABCHIOOPR,3,0
ACROSS,ACORSS,1,0
ACROSTIC,ACCIORST,3,0
ACRYLIC,ACCILRY,2,0
ACRYLICS,ACCILRSY,2,0
ACT,ACT,1,1
ACTED,ACDET,1,1
ACTIN,ACINT,3,1
ACTING,ACGINT,1,0
ACTINIC,ACCIINT,3,0
ACTION,ACINOT,3,1
ACTIONABLE,AABCEILNOT,2,0
ACTIONS,ACINOST,2,1
ACTIVATE,AACEITTV,2,0
ACTIVATED,AACDEITTV,2,0
ACTIVATES,AACEISTTV,2,0
ACTIVATING,AACGIINTTV,2,0
ACTIVATION,AACIINOTTV,2,1
ACTIVATIONS,AACIINOSTTV,3,0
ACTIVATOR,AACIORTTV,3,0
ACTIVATORS,AACIORSTTV,3,0
ACTIVE,ACEITV,1,0
ACTIVELY,ACEILTVY,1,0
ACTIVES,ACEISTV,3,0
ACTIVISM,ACIIMSTV,1,0
ACTIVIST,ACIISTTV,1,0
ACTIVISTS,ACIISSTTV,1,0
ACTIVITIES,ACEIIISTTV,1,0
ACTIVITY,ACIITTVY,1,0
ACTOR,ACORT,1,0
ACTORS,ACORST,1,1
ACTRESS,ACERSST,1,2
ACTRESSES,ACEERSSST,2,0
ACTS,ACST,1,3
ACTUAL,AACLTU,1,0
ACTUALITIES,AACEIILSTTU,3,0
ACTUALITY,AACILTTUY,2,0
ACTUALIZATION,AAACIILNOTTUZ,3,0
ACTUALIZE,AACEILTUZ,3,0
ACTUALIZED,AACDEILTUZ,3,0
ACTUALIZES,AACEILSTUZ,3,0
ACTUALIZING,AACGIILNTUZ,3,0
ACTUALLY,AACLLTUY,1,0
ACTUARIAL,AAACILRTU,2,0
ACTUARIALLY,AAACILLRTUY,3,0
ACTUARIES,AACEIRSTU,3,0
ACTUARY,AACRTUY,3,0
ACTUATE,AACETTU,3,0
ACTUATED,AACDETTU,3,0
ACTUATION,AACINOTTU,3,0
ACTUATOR,AACORTTU,2,1
ACTUATORS,AACORSTTU,2,1
ACUITIES,ACEIISTU,3,0
ACUITY,ACITUY,2,0
ACUMEN,ACEMNU,2,0
ACUPRESSURE,ACEEPRRSSUU,3,0
ACUPUNCTURE,ACCENPRTUUU,2,0
ACUPUNCTURIST,ACCINPRSTTUUU,3,0
ACUPUNCTURISTS,ACCINPRSSTTUUU,3,0
ACUTE,ACETU,1,0
ACUTELY,ACELTUY,2,0
ACUTENESS,ACEENSSTU,3,0
ACYCLOVIR,ACCILORVY,3,0
AD,AD,1,0
ADAGE,AADEG,2,0
ADAGES,AADEGS,3,0
ADAGIO,AADGIO,3,0
ADAMANT,AAADMNT,2,0
ADAMANTINE,AAADEIMNNT,3,0
ADAMANTLY,AAADLMNTY,2,0
ADAPT,AADPT,1,0
ADAPTABILITY,AAABDIILPTTY,2,0
ADAPTABLE,AAABDELPT,2,0
ADAPTATION,AAADINOPTT,1,0
ADAPTATIONAL,AAAADILNOPTT,3,0
ADAPTATIONS,AAADINOPSTT,2,0
ADAPTED,AADDEPT,2,0
ADAPTER,AADEPRT,2,0
ADAPTERS,AADEPRST,2,0
ADAPTING,AADGINPT,2,0
ADAPTION,AADINOPT,3,0
ADAPTIVE,AADEIPTV,2,0
ADAPTIVELY,AADEILPTVY,3,0
ADAPTOR,AADOPRT,3,0
ADAPTORS,AADOPRST,3,0
ADAPTS,AADPST,2,0
ADD,ADD,1,1
ADDED,ADDDE,1,0
ADDENDA,AADDDEN,3,0
ADDENDUM,ADDDEMNU,3,0
ADDER,ADDER,3,2
ADDERS,ADDERS,3,2
ADDICT,ACDDIT,2,0
ADDICTED,ACDDDEIT,2,0
ADDICTING,ACDDGIINT,3,0
ADDICTION,ACDDIINOT,1,0
ADDICTIONS,ACDDIINOST,2,0
ADDICTIVE,ACDDEIITV,2,0
ADDICTS,ACDDIST,2,0
ADDING,ADDGIN,1,0
ADDITION,ADDIINOT,1,0
ADDITIONAL,AADDIILNOT,1,0
ADDITIONALLY,AADDIILLNOTY,1,0
ADDITIONS,ADDIINOST,2,0
ADDITIVE,ADDEIITV,2,0
ADDITIVES,ADDEIISTV,2,0
ADDLED,ADDDEL,3,0
ADDRESS,ADDERSS,1,0
ADDRESSABLE,AABDDEELRSS,3,0
ADDRESSED,ADDDEERSS,3,0
ADDRESSEE,ADDEEERSS,2,0
ADDRESSEES,ADDEEERSSS,3,0
ADDRESSES,ADDEERSSS,2,0
ADDRESSING,ADDEGINRSS,1,0
ADDS,ADDS,1,1
ADDUCE,ACDDEU,3,0
ADDUCED,ACDDDEU,3,0
ADDUCES,ACDDESU,3,0
ADDUCTION,ACDDINOTU,3,0
ADDUCTOR,ACDDORTU,3,0
ADDUCTORS,ACDDORSTU,3,0
ADENINE,ADEEINN,3,0
ADENOCARCINOMA,AAACCDEIMNNOOR,3,0
ADENOCARCINOMAS,AAACCDEIMNNOORS,3,0
ADENOID,ADDEINO,3,0
ADENOIDAL,AADDEILNO,3,0
ADENOIDS,ADDEINOS,3,0
ADENOMA,AADEMNO,3,0
